"query","calls","total_time","class","operation_type"
"SELECT  ""users"".","22343","2562.08399999999","Api::Int::UsersController","SELECT"
"SELECT ""users"".","4279","311.965","Api::V1::UsersController","SELECT"
"SELECT ""users"".","640","129.32","Api::V1::MessagesController","SELECT"
"SELECT ""users"".","3071","115.850000000001","Api::Int::Vents::DataDeletion::DataDeletionController","SELECT"
"SELECT  ""users"".""id"", ""users"".""network_id"" FROM ""users"" WHERE ""users"".""network_id"" = ? ORDER BY ""users"".""id"" ASC LIMIT ?","176","103.477","NetworkDeletionModelCounter","SELECT"
"SELECT ""users"".","186","71.026","Api::V1::MessagesController","SELECT"
"SELECT ""users"".","319","60.717","Api::V1::UsersController","SELECT"
"SELECT ""users"".","311","55.858","Api::V1::MessagesController","SELECT"
"SELECT COUNT(","327","43.634","Api::Int::UsersController","SELECT"
"SELECT ""users"".","1","42.937","StreamDistributor","SELECT"
"SELECT  ""users"".","567","34","Api::Int::UsersController","SELECT"
"SELECT ""users"".","26","10.207","Api::V1::UsersController","SELECT"
"SELECT ""users"".","35","10.013","Api::V1::UsersController","SELECT"
"SELECT ""users"".","16","4.799","MessageProcessor","SELECT"
"SELECT ""users"".","6","3.074","Api::V1::MessagesController","SELECT"
"SELECT  ""users"".","26","1.36","Api::Int::UsersController","SELECT"
"SELECT ""users"".","1","0.127","Api::V1::MessagesController","SELECT"
